date,description,amount,type,merchant
2026-06-05,Inventory purchase - printing stock monthly,22000,debit,Star Paper Mart
2026-06-07,Monthly office rent payment,25000,debit,Landlord Suresh Kumar
2026-06-07,Electricity bill payment June,3900,debit,BESCOM
2026-06-09,Customer payment received for political campaign materials,38000,credit,Campaign Manager
2026-06-12,Staff salary disbursement June,65000,debit,Employee Payroll
2026-06-13,Social media advertising spend,6000,debit,Meta Ads
2026-06-14,Customer payment received for security passes,15000,credit,InfoTech Campus
2026-06-16,Raw material purchase - specialty inks,11000,debit,Ink World
2026-06-17,Transport freight delivery,3000,debit,Express Logistics
2026-06-18,Customer payment received for school stationery,29000,credit,Wisdom School
2026-06-20,Fuel expenses vehicle,2200,debit,HP Petrol Pump
2026-06-20,Stock purchase - lamination rolls,8000,debit,Print Supply Hub
2026-06-22,Internet broadband bill,2200,debit,Airtel Business
2026-06-23,Customer payment received for trade catalogue,41000,credit,Export House India
2026-06-24,Courier and logistics,1600,debit,Blue Dart Courier
2026-06-26,Loan EMI repayment to HDFC Bank,12500,debit,HDFC Bank
2026-06-28,Customer payment received for flex board printing,17500,credit,Local Advertising
2026-06-30,Raw material purchase - paper finishing rolls,6500,debit,Premium Papers
